,Title,Description,Company,Location,Actively_Hiring,ListDate,DaysAgo,Link,Latest,Scraped
21,Ingénieur développeur,"À propos de nous

Depuis plus de 30 ans, DAMA s'impose comme un leader du recrutement et de la gestion des talents au Maroc. Notre but ? Connecter les professionnels avec des opportunités enrichissantes qui valorisent leurs compétences et ambitions. En tant que première société indépendante dans notre secteur, nous nous engageons à offrir des conseils personnalisés et à construire des relations de proximité pour votre développement professionnel.

Que vous recherchiez un poste en intérim, CDD, ou CDI, notre réseau étendu dans divers secteurs d'activité vous ouvre les portes de nombreuses opportunités. Découvrez comment nous pouvons accompagner votre parcours professionnel sur www.dama.ma.



















Référence de l'offre : uxbo8hdt2d",DAMA,"Casablanca, Casablanca-Settat, Morocco",No,1 day ago,1.0,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-d%C3%A9veloppeur-at-dama-3789469213?refId=Uuri8H0yRPKNHis5VgCTUQ%3D%3D&trackingId=Uj6XM8VHlZAPotan2E3JuQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2023-12-23
12,Senior Data Scientist - Casablanca,"Who we are ?

Artefact is a new generation of a data service provider, specialising in data consulting and data-driven digital marketing, dedicated to transforming data into business impact across the entire value chain of organisations. We are proud to say we’re enjoying skyrocketing growth.

Our broad range of data-driven solutions in data consulting and digital marketing are designed to meet our clients’ specific needs, always conceived with a business-centric approach and delivered with tangible results. Our data-driven services are built upon the deep AI expertise we’ve acquired with our 1000+ client base around the globe.

We have 850 employees across 20 offices who are focused on accelerating digital transformation. Thanks to a unique mix of company assets: State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data scientists, data engineers, and digital experts, all dedicated to bringing extra value to every client.

Over the last few years, Data Science at Artefact Morocco has skyrocketed in terms of novel projects coupled with a growing diverse team. We tackle use cases that bring business value and serve different countries. Our area of expertise involves Applied Mathematics & Statistics for Machine Learning and Deep Learning, with a recently strong focus on Generative AI.

In addition to the core Data Science and ML Engineering Team, you will work with different stakeholders to:



When Consulted On a Business Challenge, You Propose Adequate AI Or Machine Learning Options To Address This Need. You Act As An Expert On The Best Algorithm To Choose Given The Specific Context And Constraints. You Are a Key Contributor To The Design Of The Solution. You Develop Data Visualisation Features To Generate Insights And Support Data Storytelling. You Iterate With The Business In An Agile Way To Develop, Adapt And Refine The Solution To Enable Maximum Business Impact. You Design, Build, Maintain, And Troubleshoot The Data Models Integrated Into The Solutions Delivered",Artefact,"Casablanca, Casablanca-Settat, Morocco",Yes,1 day ago,1.0,https://ma.linkedin.com/jobs/view/senior-data-scientist-casablanca-at-artefact-3776222663?refId=Uuri8H0yRPKNHis5VgCTUQ%3D%3D&trackingId=MD%2BMkBkMy86n%2F99g1KnjWw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2023-12-23
178,Développeur Fullstack / Angular (F/H),"Description de poste

En qualité de développeur FullStack Java/Angular, vous serez appelé à collaborer à la construction de notre nouveau système. Ce rôle exige une interaction avec les partenaires internes et externes pour faire aboutir les travaux attendus. Vous aurez comme responsabiltés ce qui suit :

Fonctions et responsabilités



Qualités requises pour réussir dans ce rôle

Compétences essentielles



Compétences souhaitables



Études et certification



CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap et à l’évolution de carrières des hommes et des femmes.



Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Lorsque vous rejoignez CGI, vous devenez un conseiller de confiance, collaborant avec vos collègues et clients pour proposer des idées exploitables qui produisent des résultats concrets et durables. Nous appelons nos employés ""membres"" parce qu’ils sont actionnaires et propriétaires de CGI. Ils ont du plaisir à travailler et à grandir ensemble pour bâtir une entreprise dont nous sommes fiers. C’est notre rêve depuis 1976. Il nous a menés là où nous sommes aujourd’hui – l’une des plus importantes entreprises indépendantes de conseil en technologie de l’information (TI) et en management au monde.

Chez CGI, nous reconnaissons la richesse que la diversité nous apporte. Nous aspirons à créer une culture à laquelle nous appartenons tous et collaborons avec nos clients pour créer des communautés plus inclusives. En tant qu’employeur qui prône l’égalité des chances pour tous, nous voulons donner à tous nos membres les moyens de réussir et de s’épanouir. Si vous avez besoin d’un accompagnement spécifique durant le processus de recrutement et d’intégration, veuillez nous en informer. Nous serons heureux de vous aider.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",CGI,"Rabat, Rabat-Salé-Kenitra, Morocco",Yes,1 day ago,1.0,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-fullstack-angular-f-h-at-cgi-3761169488?refId=BXgqCJirAP1xCnHqv%2Fjo1w%3D%3D&trackingId=PpIadKSBPr6KJ5qtMW%2F5pg%3D%3D&position=5&pageNum=7&trk=public_jobs_jserp-result_search-card,1,2023-12-23
8,Data scientist,"Data wrangling ou Data munging
Data exploration des données
Restructuration et transformation de la Data en nouveaux formats appropriés pour le traitement.
Enrichissement de la donnée, souvent grâce au cross ou grâce au retour des data Stewart.",ALTEN MAROC,"Rabat, Rabat-Salé-Kenitra, Morocco",Yes,1 day ago,1.0,https://ma.linkedin.com/jobs/view/data-scientist-at-alten-maroc-3790123185?refId=Uuri8H0yRPKNHis5VgCTUQ%3D%3D&trackingId=1jhMo0CTPTsO930pLClo8Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2023-12-23
42,Programmeur statistique/Programmeuse statistique,"Et si vous rejoigniez la communauté Astek ?
Nous vous proposons un modèle basé sur la proximité, l’écoute, l’épanouissement, le développement de vos compétences et de votre carrière. Le tout agrémenté de beaucoup de fun et d’esprit collectif !",Astek Morocco,"Casablanca-Settat, Morocco",Yes,2 days ago,2.0,https://ma.linkedin.com/jobs/view/programmeur-statistique-programmeuse-statistique-at-astek-morocco-3785066457?refId=n916p2LTUfxgPdjKOmIpFA%3D%3D&trackingId=jczs%2BRB2yyW1G3Y6xDFWHQ%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,1,2023-12-23
44,Développeur back-end Python/Django,"ALTER SOLUTIONS est une société de conseil et d’expertise en technologies créée en 2006. Notre vocation est d’accompagner nos clients sur les enjeux technologiques et organisationnels de leur transformation digitale. Notre offre s’articule autour des expertises suivantes:
Technologies & Software Delivery",Alter Solutions Maroc,"Casablanca, Casablanca-Settat, Morocco",No,2 days ago,2.0,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-back-end-python-django-at-alter-solutions-maroc-3785652790?refId=n916p2LTUfxgPdjKOmIpFA%3D%3D&trackingId=VpzkHBBWeI5%2Fe22zpmK8fg%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,1,2023-12-23
257,Business Intelligence Developer,"Mission principale
Le développeur BI a pour mission principale de contribuer au développement logiciel des solutions Business Intelligence, en fournissant un soutien technique et en travaillant à l'amélioration continue des processus. L'objectif est d'améliorer la qualité, la technicité des produits, et d'optimiser les temps de développement, tout en garantissant la conformité aux normes et spécifications en vigueur dans le domaine de la Business Intelligence.",Société Générale Maroc,Casablanca Metropolitan Area,Yes,2 days ago,2.0,https://ma.linkedin.com/jobs/view/business-intelligence-developer-at-soci%C3%A9t%C3%A9-g%C3%A9n%C3%A9rale-maroc-3789279680?refId=kX39VwbtPplXonlnPr5m4Q%3D%3D&trackingId=kazwPuk%2Fh57nsUyz9SiGsA%3D%3D&position=9&pageNum=10&trk=public_jobs_jserp-result_search-card,1,2023-12-23
1,Data Scientist,"Joining Cnexia is choosing to be part of an ambitious project that values Innovation, promotes Continuous Learning and enables all tech champions to fulfill their creative dreams.
At Cnexia, we do more than support the clients of our world-class network and services. We develop innovative solutions and create original multiplatform media content. In fact, we’re revolutionizing how Canadians communicate on the web, interact with Mobile Apps or benefit from an AI-enhanced experience.",Cnexia,"Rabat, Rabat-Salé-Kenitra, Morocco",Yes,2 days ago,2.0,https://ma.linkedin.com/jobs/view/data-scientist-at-cnexia-3785074401?refId=Uuri8H0yRPKNHis5VgCTUQ%3D%3D&trackingId=v5ZA52KRmXcXTsQmvrPVzQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2023-12-23
50,Devsecops Engineer,"Taches :
Gérer le processus de gestion des demandes relatives à la sécurité des applications.
Lancer des scans automatisés avec l’outil.
Faire la revue des résultats de scans réalisés sur le code des applications des entités afin d’identifier les tentatives d’intrusion et les fausses alertes.",Cyclad,"Rabat, Rabat-Salé-Kenitra, Morocco",Yes,2 days ago,2.0,https://ma.linkedin.com/jobs/view/devsecops-engineer-at-cyclad-3791277238?refId=2eY%2BA3f2K%2FFRapp6aHK%2B8w%3D%3D&trackingId=T1jsWOoyhjFOrWhTIiry7Q%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card,1,2023-12-23
33,Développeur front ReactJS,"ALTER SOLUTIONS est une société de conseil et d’expertise en technologies créée en 2006. Notre vocation est d’accompagner nos clients sur les enjeux technologiques et organisationnels de leur transformation digitale. Notre offre s’articule autour des expertises suivantes:
Technologies & Software Delivery",Alter Solutions Maroc,"Casablanca, Casablanca-Settat, Morocco",No,2 days ago,2.0,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-front-reactjs-at-alter-solutions-maroc-3785656415?refId=n916p2LTUfxgPdjKOmIpFA%3D%3D&trackingId=0jeWw9gq2ap7F8Xy09ZNxg%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,1,2023-12-23
234,Concepteur Développeur PHP ( H/F),"Poste :
La mission comprend :
• L’étude de la migration
• Le (re)développement de l’application IASO avec Symphony et Docker
• La documentation du code source",Sofrecom Maroc,Rabat Metropolitan Area,Yes,2 days ago,2.0,https://ma.linkedin.com/jobs/view/concepteur-d%C3%A9veloppeur-php-h-f-at-sofrecom-maroc-3790791969?refId=hktsH6qXRGndRKFGPE4Axw%3D%3D&trackingId=kRGE7wkfz4Cn%2BRdBwmp7Gg%3D%3D&position=11&pageNum=9&trk=public_jobs_jserp-result_search-card,1,2023-12-23
186,Ingénieur JAVA Fullstack,"Bonjour tout le monde ,

Description:
Dans le cadre de notre développement, nous recherchons des développeurs JAVA Full stack pour un poste basé en France.",Talentcale,Casablanca Metropolitan Area,No,2 days ago,2.0,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-java-fullstack-at-talentcale-3788680609?refId=BXgqCJirAP1xCnHqv%2Fjo1w%3D%3D&trackingId=DaZWEGXVhH%2F4QSiuaAfzcA%3D%3D&position=13&pageNum=7&trk=public_jobs_jserp-result_search-card,1,2023-12-23
134,Ingénieur intégration logiciel (H/F),"Poste :

• Maintenir en conditions opérationnelles l’infrastructure d’hébergement de la brique de service DataMiner (SNMP pollers, bases de données, frontends…).",Sofrecom Maroc,"Rabat, Rabat-Salé-Kenitra, Morocco",Yes,2 days ago,2.0,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-int%C3%A9gration-logiciel-h-f-at-sofrecom-maroc-3746546368?refId=RCJB3gyiZqafHXLg16esQw%3D%3D&trackingId=vefspIlMPNjGKsNoSrrkAw%3D%3D&position=11&pageNum=5&trk=public_jobs_jserp-result_search-card,1,2023-12-23
140,Data Engineer,"« Vous devez être le changement que vous voulez voir dans ce monde » Ghandi

Cette citation, à elle seule, pourrait résumer l’ambition du Groupe BMCI. Le monde change autour de nous et aujourd’hui, plus que jamais, s’adapter devient nécessaire pour relever les challenges de demain. Cela ne saurait se conjuguer au singulier et pour cette raison, la BMCI attache une importance particulière au développement de son capital humain. Le collaborateur et son épanouissement au travail sont au centre de la dynamique de développement enclenché par le Groupe, à travers une intégration accompagnée, une gestion de carrière pro-active et un accompagnement approfondi et poussé pour permettre aux collaborateurs, nouvelles recrues ou déjà en poste, de libérer leur potentiel et d’exprimer leur talent.

Rejoindre la BMCI, c’est travailler dans une Banque qui œuvre, au quotidien, pour une finance durable favorisant l’inclusion sociale et la préservation de notre environnement pour un développement durable. BMCI encourage d’ailleurs ses collaborateurs à s’investir pour une société plus juste et est la seule banque de la place à leur offrir un jour de congé par an dans cet optique dans le cadre du programme de mécénat de compétences #1millionhours2Help.

Intégrer la BMCI, c’est également intégrer une entreprise pour laquelle le mot « mixité » n’est pas appelé à rester lettre morte. Engagée dans la promotion de la diversité Femmes-Hommes au sein de ses départements et filiales, la BMCI, dans la lignée du Groupe BNP Paribas, applique des mesures concrètes au quotidien comme la signature de la Charte #JamaisSansElles.

Vous l’aurez compris, postuler à la BMCI signifie bien plus qu’être candidat à un simple « job ». Il s’agit avant tout de rejoindre un Groupe en constante transformation et donner un sens à son travail.

MISSION

Le / La Data Engineer est responsable de la conception technique et du développement des actifs IT dédiés à la gestion des données et de leurs pipelines entrants et sortants.

Elle /il se basera sur la conception fonctionnelle définie par le Business Analyst , sur le cadre défini par le Data Architect , tout en se conformant au Modèle de données d'entreprise et aux normes IT.

Elle/il travaille en collaboration avec les Data Analyst, qui sont responsables de l'agrégation des données, et les Data Scientists, qui sont en charge de l'utilisation des data à l'aide des algorithmes.

En outre , il/elle interagit avec les équipes IT en charge de la sécurité, la continuité et l'architecture afin de faire valider les actifs IT qu'il/elle conçoit et développe.

ACTIVITES

Le/La Data Engineer :


COMPETENCES










#Talent Wanted :

De formation BAC+5 en école d’ingénieur /commerce, vous avez une forte orientation client et résultat, vous êtes force de proposition et appréciez le travail en équipe. Vous avez une réelle appétence de porter des sujets structurants à échelle internationale. Votre rigueur, votre enthousiasme, votre esprit d'initiative alliés à votre capacité d’analyse et à votre capacité d'adaptation seront les garants de votre réussite à ce poste.

# En échange…

Vous intégrez une aventure dans laquelle vous pourrez apporter votre pierre. C'est un nouveau souffle que vous donnez à votre carrière en intégrant une équipe dynamique et bienveillante, le tout agrémenté d’un esprit collectif !

]]>",BNP Paribas,Morocco,Yes,2 days ago,2.0,https://ma.linkedin.com/jobs/view/data-engineer-at-bnp-paribas-3719535392?refId=RCJB3gyiZqafHXLg16esQw%3D%3D&trackingId=iEMblybbiQiiPqVcEo6GeA%3D%3D&position=17&pageNum=5&trk=public_jobs_jserp-result_search-card,1,2023-12-23
101,Développeur RPA Robotisation,"« Vous devez être le changement que vous voulez voir dans ce monde » Ghandi

Cette citation, à elle seule, pourrait résumer l’ambition du Groupe BMCI. Le monde change autour de nous et aujourd’hui, plus que jamais, s’adapter devient nécessaire pour relever les challenges de demain. Cela ne saurait se conjuguer au singulier et pour cette raison, la BMCI attache une importance particulière au développement de son capital humain. Le collaborateur et son épanouissement au travail sont au centre de la dynamique de développement enclenché par le Groupe, à travers une intégration accompagnée, une gestion de carrière pro-active et un accompagnement approfondi et poussé pour permettre aux collaborateurs, nouvelles recrues ou déjà en poste, de libérer leur potentiel et d’exprimer leur talent.

Rejoindre la BMCI, c’est travailler dans une Banque qui œuvre, au quotidien, pour une finance durable favorisant l’inclusion sociale et la préservation de notre environnement pour un développement durable. BMCI encourage d’ailleurs ses collaborateurs à s’investir pour une société plus juste et est la seule banque de la place à leur offrir un jour de congé par an dans cet optique dans le cadre du programme de mécénat de compétences #1millionhours2Help.

Intégrer la BMCI, c’est également intégrer une entreprise pour laquelle le mot « mixité » n’est pas appelé à rester lettre morte. Engagée dans la promotion de la diversité Femmes-Hommes au sein de ses départements et filiales, la BMCI, dans la lignée du Groupe BNP Paribas, applique des mesures concrètes au quotidien comme la signature de la Charte #JamaisSansElles.

Vous l’aurez compris, postuler à la BMCI signifie bien plus qu’être candidat à un simple « job ». Il s’agit avant tout de rejoindre un Groupe en constante transformation et donner un sens à son travail.

MISSION

Automatisation des processus opérationnels à faible valeur ajoutée, en utilisant la technologie RPA (Robotic Process Automation) via l’outil de développement BluePrism.

ACTIVITES PRINCIPALES


PRINCIPALES COMPETENCES REQUISES

CONNAISSANCES REQUISES


COMPORTEMENTS PROFESSIONNELS REQUIS


#Talent Wanted :

De formation BAC+5 en école d’ingénieur /commerce, vous avez une forte orientation client et résultat, vous êtes force de proposition et appréciez le travail en équipe. Vous avez une réelle appétence de porter des sujets structurants à échelle internationale. Votre rigueur, votre enthousiasme, votre esprit d'initiative alliés à votre capacité d’analyse et à votre capacité d'adaptation seront les garants de votre réussite à ce poste.

# En échange…

Vous intégrez une aventure dans laquelle vous pourrez apporter votre pierre. C'est un nouveau souffle que vous donnez à votre carrière en intégrant une équipe dynamique et bienveillante, le tout agrémenté d’un esprit collectif !

]]>",BNP Paribas,Morocco,Yes,2 days ago,2.0,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-rpa-robotisation-at-bnp-paribas-3719532612?refId=MPXEVUZgP0n1B1UJcfwYwg%3D%3D&trackingId=6wyVDdBEQBB49yAvWbXOCA%3D%3D&position=3&pageNum=4&trk=public_jobs_jserp-result_search-card,1,2023-12-23
220,Ingénieur logiciel Java/Ingénieure logiciel Java,"S2M :Editeur et Intégrateur de solutions monétiques, S2M se positionne aujourd’hui comme un leader de la Transaction Electronique Sécurisée TES.Notre vocation est d’accompagner nos clients dans leur transformation digitale en leur offrant une expérience à forte valeur ajoutée dans un monde ultra connecté.Notre positionnement One Stop Shop monétique nous a permis de conquérir plus de 40 pays dans les 4 continents.Nos solutions de paiement digital sont issues d’importants investissements en R & D dans les technologies clés telles que l’intelligence artificielle (IA), la cybersécurité, la blockchain, le Big Data et la gestion de l’expérience client. :Garantir le développement et l’évolution des produits selon la roadmap définit dans les meilleures conditions de qualité, de coût et de délai.",S2M,"Prefecture of Casablanca, Casablanca-Settat, Morocco",No,2 days ago,2.0,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-logiciel-java-ing%C3%A9nieure-logiciel-java-at-s2m-3791274596?refId=vx5kufV6e0JwPGL0GBU47g%3D%3D&trackingId=rE1yUOt5hiaZTzNung7vWA%3D%3D&position=22&pageNum=8&trk=public_jobs_jserp-result_search-card,1,2023-12-23
153,Ingénieur Etudes et Développement DRUPAL Sénior,"DRUPAL : Il est attendu pour cette mission : - Support et aide aux équipes sur la migration des données / code, mise en place de bonnes pratiques, rôle de facilitateur, - Utiliser son expérience sur la planification de la projection / les pièges possibles / la non-régression / les outils / ... - Avoir déjà mené des projets de migration dans des délais courts - Pour PPA, compétences angular - node souhaitées - Capacité à former et encadrer des jeunes - Avoir déjà mis en place un environnement d'intégration ; bon niveau d'expertise et d'analyse dans la configuration des environnements de travail. - Être capable de produire des documents de conception technique - Proactif et orienté dans l'amélioration continue et la mise en place de processus d'industrialisation du code et de la "" livraison "". - Participer à l'estimation des tickets - Vous participerez à des entretiens techniques - Drupal 7, 8 & 9 ; PHP7 - JIRA, Confluence, GitFlow - Compétences souhaitées : programmation orientée objet, Jquery, Javascript & Symphony (pour la création de modules personnalisés), Angular.",Eviden,"Prefecture of Casablanca, Casablanca-Settat, Morocco",Yes,3 days ago,3.0,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-etudes-et-d%C3%A9veloppement-drupal-s%C3%A9nior-at-eviden-3727021775?refId=L29NqyAoCNvcD5enqyjVPg%3D%3D&trackingId=Qmvd3CF0%2Beai2TW65W%2FdfQ%3D%3D&position=5&pageNum=6&trk=public_jobs_jserp-result_search-card,1,2023-12-23
